MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Mob Psycho 100,2016–2019,"Animation, Action, Comedy",8.6,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.","Stars:
Setsuo Ito, 
Takahiro Sakurai, 
Akio Ôtsuka, 
Miyu Irino",19553,24,Unknown
Kakegurui,2017,"Animation, Drama, Mystery",7.2,A gambling prodigy comes to an elite school run by games and turns the order upside down.,"Stars:
Saori Hayami, 
Tatsuya Tokutake, 
Miyuki Sawashiro, 
Minami Tanaka",6269,24,Unknown
The Killer,Unknown,"Action, Crime, Drama",0,Plot unknown.,"Director:
David Fincher
| 
    Star:
Michael Fassbender",0,0,Unknown
Twilight of the Gods,Unknown,"Animation, Action, Adventure",0,Add a Plot,"Stars:
Pilou Asbæk, 
Jamie Chung, 
Jamie Clayton, 
Lauren Cohan",0,0,Unknown
Past Midnight,Unknown,"Action, Adventure, Drama",0,Add a Plot,"Director:
Rick Famuyiwa
| 
    Star:
Keanu Reeves",0,0,Unknown
Mob Psycho 100,2018,"Sci-Fi, Thriller",5.1,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.","Stars:
Ayumu Mochizuki, 
Tatsuomi Hamada, 
Atsushi Arai, 
Masayuki Deai",462,24,$0.12M
Kakegurui,2018–2019,"Drama, Mystery, Thriller",6.4,A gambling prodigy comes to an elite school run by games and turns the order upside down.,"Stars:
Minami Hamabe, 
Aoi Morikawa, 
Mahiro Takasugi, 
Ruka Matsuda",814,24,Unknown
Thomas & Friends: All Engines Go!,2021,"Animation, Adventure, Comedy",0,Add a Plot,"Stars:
Johnathan Michael, 
Shomoy James Mitchell",0,30,Unknown
The Princess Switch 3,2021,"Comedy, Drama, Family",0,Add a Plot,"Director:
Mike Rohl
| 
    Stars:
Vanessa Hudgens, 
Nick Sagar, 
Remy Hii, 
Amanda Donohoe",0,0,Unknown
Untitled Kenya Barris/Jonah Hill Comedy Project,Unknown,Comedy,0,Plot under wraps.,"Star:
Jonah Hill",0,0,Unknown
Our Man from Jersey,Unknown,Unknown,0,Add a Plot,"Stars:
Mark Wahlberg, 
Halle Berry",0,0,Unknown
Lockwood,Unknown,"Drama, Mystery, Thriller",0,Add a Plot,"Stars:
Aryè Campos, 
Martin Copping, 
Mason Dye, 
Terri Ivens",0,0,Unknown
Upstate,Unknown,Comedy,0,Plot kept under wraps.,"Star:
Ryan Reynolds",0,0,Unknown
Monkey Twins,2018,"Action, Adventure, Crime",7.9,Add a Plot,"Stars:
Phakhin Khamwilaisak, 
Alisa Kunkwaeng, 
Akkarat Nimitchai, 
Sumret Muengput",81,0,Unknown
13 Reasons Why: Season 2 Date Announcement Commercial,2018,"Short, Drama",7.2,Add a Plot,"Director:
Greg Jardin
| 
    Stars:
Alisha Boe, 
Tommy Dorfman, 
Katherine Langford, 
Derek Luke",197,1,Unknown
Wet Hot American Summer: First Day of Camp - Featurette,2015,"Documentary, Short",7.8,Add a Plot,"Director:
Josh Oreck",62,0,Unknown
Untitled Netflix/Mark Boal Project,Unknown,Drama,0,Plot under wraps.,"Star:
Noah Centineo",0,0,Unknown
Kus uçusu,Unknown,Comedy,0,Add a Plot,"Stars:
Birce Akalay, 
Ibrahim Celikkol, 
Irem Sak, 
Miray Daner",0,0,Unknown
