numPersona,Genero,Edad,Estatura,Gr_sang
1,Male,37,NA,AB
2,Male,27,1.46,O
3,Female,30,1.47,A
4,Male,35,NA,A
5,Female,41,1.6,A
6,Male,45,NA,AB
7,Male,30,1.87,B
8,Female,23,1.61,O
9,Female,24,1.9,A
10,Female,21,NA,B
11,Female,49,1.53,O
12,Male,32,NA,B
13,Female,39,1.86,O
14,Female,21,NA,AB
15,Female,32,NA,A
16,Female,21,1.9,O
17,Male,18,NA,O
18,Female,46,1.66,A
19,Male,38,1.53,AB
20,Male,30,1.87,B
21,Male,46,NA,O
22,Male,44,NA,A
23,Female,33,NA,B
24,Female,43,NA,AB
25,Male,25,NA,B
26,Female,23,1.74,A
27,Female,27,NA,O
28,Female,28,NA,A
29,Male,46,NA,O
30,Female,44,NA,O
31,Female,18,NA,A
32,Female,40,NA,A
33,Female,43,NA,AB
34,Female,36,NA,A
35,Female,39,NA,O
36,Male,42,1.43,AB
37,Male,36,NA,B
38,Female,18,NA,O
39,Female,50,NA,AB
40,Female,32,1.64,A
41,Female,18,NA,B
42,Male,19,1.77,AB
43,Male,40,NA,A
44,Male,21,1.54,B
45,Male,20,NA,AB
46,Female,22,NA,B
47,Female,48,1.46,AB
48,Male,45,NA,B
49,Female,36,1.71,A
50,Female,27,NA,B
51,Male,44,1.47,O
52,Male,33,1.44,A
53,Male,29,1.4,O
54,Male,40,NA,B
55,Female,18,1.68,AB
56,Female,21,NA,A
57,Female,36,NA,B
58,Female,46,1.57,O
59,Male,37,1.45,B
60,Male,50,NA,O
61,Female,23,NA,A
62,Male,49,NA,A
63,Female,35,NA,A
64,Male,30,NA,B
65,Female,46,NA,AB
66,Female,47,1.81,B
67,Female,28,1.89,O
68,Male,31,1.78,B
69,Male,39,1.84,A
70,Male,24,1.89,A
71,Female,35,NA,AB
72,Male,47,1.48,A
73,Female,49,NA,AB
74,Female,23,1.7,AB
75,Male,45,1.81,O
76,Female,46,NA,B
77,Female,45,1.87,B
78,Female,19,NA,AB
79,Female,40,1.66,AB
80,Male,47,1.65,B
81,Female,47,NA,A
82,Female,22,1.9,B
83,Male,37,NA,A
84,Male,42,NA,B
85,Male,39,1.62,B
86,Male,42,NA,O
87,Female,34,1.77,B
88,Male,21,NA,AB
89,Male,26,NA,A
90,Female,24,NA,O
91,Female,44,1.76,O
92,Female,42,1.74,A
93,Male,21,1.71,B
94,Male,25,1.41,O
95,Male,39,NA,AB
96,Female,36,NA,AB
97,Female,30,1.89,A
98,Male,49,NA,A
99,Female,42,1.58,O
100,Male,36,NA,A
101,Female,45,1.69,A
102,Male,21,1.63,AB
103,Male,29,1.81,B
104,Male,37,NA,AB
105,Female,23,NA,B
106,Female,49,1.63,O
107,Female,22,NA,O
108,Male,47,NA,B
109,Male,42,NA,A
110,Female,27,NA,AB
111,Male,23,NA,A
112,Male,20,NA,B
113,Male,34,NA,O
114,Male,47,NA,AB
115,Female,46,1.56,O
116,Female,44,NA,AB
117,Male,47,1.55,B
118,Male,37,NA,A
119,Male,21,1.5,AB
120,Female,27,NA,B
121,Female,19,1.49,A
122,Male,47,1.82,O
123,Female,25,1.59,B
124,Male,40,NA,B
125,Male,35,1.59,B
126,Male,29,1.8,B
127,Female,41,NA,B
128,Male,28,1.55,AB
129,Female,45,NA,AB
130,Female,30,NA,A
131,Female,46,1.81,A
132,Female,35,NA,O
133,Male,47,1.41,A
134,Female,18,1.9,AB
135,Female,43,1.41,AB
136,Female,21,NA,O
137,Male,37,NA,O
138,Male,44,NA,AB
139,Male,48,1.66,AB
140,Male,46,1.62,A
141,Female,49,1.51,B
142,Female,22,NA,AB
143,Male,50,NA,AB
144,Male,27,1.41,AB
145,Male,29,NA,O
146,Female,36,NA,AB
147,Female,45,1.44,B
148,Female,29,1.73,B
149,Male,20,1.46,A
150,Male,36,NA,A
151,Female,36,1.81,A
152,Male,46,NA,A
153,Male,26,1.65,O
154,Female,37,NA,O
155,Female,49,NA,O
156,Male,24,NA,O
157,Female,22,1.84,O
158,Male,22,1.63,O
159,Female,37,1.7,A
160,Female,29,1.6,A
161,Female,37,NA,O
162,Female,24,NA,O
163,Male,43,NA,O
164,Male,33,1.69,B
165,Male,34,1.71,B
166,Female,44,1.47,AB
167,Male,25,NA,AB
168,Male,25,NA,A
169,Female,37,NA,B
170,Female,24,NA,B
171,Female,18,NA,B
172,Female,47,1.9,A
173,Female,35,1.54,A
174,Male,20,1.82,AB
175,Female,41,NA,AB
176,Male,38,1.57,AB
177,Female,18,1.66,O
178,Female,48,1.52,AB
179,Female,26,1.68,B
180,Female,36,1.86,B
181,Female,19,1.87,A
182,Female,41,NA,O
183,Female,22,NA,AB
184,Male,38,1.76,O
185,Male,34,NA,A
186,Female,29,1.7,AB
187,Male,35,1.7,A
188,Male,50,NA,A
189,Female,29,1.47,AB
190,Female,32,1.7,AB
191,Male,22,NA,B
192,Male,24,1.43,AB
193,Female,33,1.76,O
194,Female,38,1.72,A
195,Female,38,NA,O
196,Male,35,1.46,A
197,Female,45,NA,AB
198,Male,28,1.66,O
199,Male,20,NA,O
200,Male,31,1.88,AB
201,Female,46,1.62,O
202,Male,27,1.45,A
203,Female,32,NA,O
204,Male,28,NA,A
205,Female,36,1.56,A
206,Male,46,1.83,AB
207,Male,27,1.72,AB
208,Female,36,NA,AB
209,Female,31,NA,AB
210,Female,36,NA,AB
211,Female,47,NA,AB
212,Male,32,1.89,B
213,Female,47,1.53,A
214,Male,28,NA,AB
215,Female,48,1.82,AB
216,Female,40,1.8,A
217,Male,47,NA,B
218,Male,26,NA,O
219,Male,25,1.9,AB
220,Female,39,NA,O
221,Female,46,NA,O
222,Female,32,NA,O
223,Male,47,1.8,B
224,Female,39,NA,AB
225,Male,33,1.9,B
226,Female,47,NA,B
227,Female,49,NA,A
228,Female,43,1.6,A
229,Female,31,NA,O
230,Female,21,NA,O
231,Male,50,1.47,AB
232,Female,21,NA,AB
233,Male,26,1.88,O
234,Female,34,NA,AB
235,Female,28,NA,AB
236,Female,31,NA,O
237,Female,45,1.9,O
